"Plugin","Path","LineNumber","Line","PSComputerName","RunspaceId","PSShowComputerName"
"computer_mode","C:\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1365","COMPUTER_MODE_ACTIVATION = ""computer_mode_activation""","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"computer_mode","C:\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1477","ModelCapability.COMPUTER_MODE_ACTIVATION: ""computer"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"computer_mode","C:\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1972","_computer_mode = ComputerMode()","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"gpu_balancer","C:\realai\scanners\fs1_full_spectrum_scan.py","26","""quantize"",""quantization"",""directml"",""vulkan"",""cuda"",""rocm"",""gpu_balancer"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"gpu_balancer","C:\realai\scanners\lora_scan.py","9","""gpu_balancer"",""vllm"",""ollama"",""llama.cpp"",""huggingface"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"image_gen","C:\realai\local_models.py","27","IMAGE_GEN = ""image_generation"" # Image generation models","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"image_gen","C:\realai\.kilo\worktrees\cotton-mistake\local_models.py","27","IMAGE_GEN = ""image_generation"" # Image generation models","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"image_gen","C:\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1091","""text_generation"", ""image_generation"", ""video_generation"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"knowledge_rag","C:\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","5","""module"": ""C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"knowledge_rag","C:\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","7","""diff"": ""--- C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py\n+++ C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py (proposed)\n@@ -1,120 ","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"knowledge_rag","C:\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","14","""module"": ""C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"llm_chat","C:\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","7","""diff"": ""--- C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py\n+++ C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py (proposed)\n@@ -1,120 ","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"llm_chat","C:\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","16","""diff"": ""--- C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py\n+++ C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py (proposed)\n@@ -1,120 ","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"llm_chat","C:\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","25","""diff"": ""--- C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py\n+++ C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py (proposed)\n@@ -1,120 ","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"model_manager","C:\realai\local_models.py","164","def __init__(self, model_manager: LocalModelManager):","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"model_manager","C:\realai\local_models.py","169","model_manager: Model manager instance","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"model_manager","C:\realai\local_models.py","171","self.model_manager = model_manager","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"ocr","C:\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","4727","coordination_strategy: ""hierarchical"", ""democratic"", or ""stigmergic""","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"ocr","C:\realai\models\realai-vision\manifest.json","10","""ocr"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"ocr","C:\realai\realai\__init__.py","4727","coordination_strategy: ""hierarchical"", ""democratic"", or ""stigmergic""","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"rag_memory","C:\realai\realai\ability_catalog.py","741","""wasteland"", ""real_fin"", ""agent_tools"", ""hive"", ""chroma"", ""rag_memory"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"rag_memory","C:\realai\scan_results\ability_keywords_learned.json","345","""rag_memory"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"rag_memory","C:\realai\scan_results\ability_keywords_learned.json","2038","""keyword"": ""rag_memory"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"self_reflection","C:\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1097","""knowledge_synthesis"", ""chain_of_thought"", ""self_reflection"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"self_reflection","C:\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1118","""self_reflection"", ""chain_of_thought"", ""knowledge_synthesis"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"self_reflection","C:\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1293","SELF_REFLECTION = ""self_reflection""","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"twitter","C:\realai\agents\agentx\agency_import.json","499","""description"": ""Expert social media strategist for Twitter, LinkedIn, and professional platforms. Creates viral campaigns, builds communities, manages real-time","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"twitter","C:\realai\agents\agentx\agency_import.json","510","""Twitter Advertising"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"twitter","C:\realai\agents\agentx\agents.json","997","""description"": ""Expert social media strategist for Twitter, LinkedIn, and professional platforms. Creates viral campaigns, builds communities, manages real-time","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"web_research","C:\realai\.kilo\worktrees\cotton-mistake\benchmarks\bench_tool_use.py","57","val_result = validator.validate(""web_research"", {""query"": ""test""})","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"web_research","C:\realai\.kilo\worktrees\cotton-mistake\benchmarks\bench_tool_use.py","61","""test"": ""validator_web_research"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"web_research","C:\realai\.kilo\worktrees\cotton-mistake\realai\app_framework.py","164",".add_step(""fetch"", ""web_research"", {""query"": ""AI news""})","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"self_improving","C:\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1332","SELF_IMPROVING = ""self_improving""","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"self_improving","C:\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1450","ModelCapability.SELF_IMPROVING: ""evolution"",","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"self_improving","C:\realai\realai\__init__.py","1332","SELF_IMPROVING = ""self_improving""","localhost","5fc7ed14-5ad6-4786-818c-ad93a0cab80d","False"
"computer_mode","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1365","COMPUTER_MODE_ACTIVATION = ""computer_mode_activation""","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"computer_mode","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1477","ModelCapability.COMPUTER_MODE_ACTIVATION: ""computer"",","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"computer_mode","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1972","_computer_mode = ComputerMode()","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"image_gen","C:\realai\realai_og_mess\realai\local_models.py","27","IMAGE_GEN = ""image_generation"" # Image generation models","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"image_gen","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\local_models.py","27","IMAGE_GEN = ""image_generation"" # Image generation models","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"image_gen","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1091","""text_generation"", ""image_generation"", ""video_generation"",","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"knowledge_rag","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","5","""module"": ""C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py"",","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"knowledge_rag","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","7","""diff"": ""--- C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py\n+++ C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py (proposed)\n@@ -1,120 ","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"knowledge_rag","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","14","""module"": ""C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py"",","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"llm_chat","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","7","""diff"": ""--- C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py\n+++ C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py (proposed)\n@@ -1,120 ","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"llm_chat","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","16","""diff"": ""--- C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py\n+++ C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py (proposed)\n@@ -1,120 ","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"llm_chat","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai_memory\evolution_proposals.json","25","""diff"": ""--- C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py\n+++ C:\\Users\\tsmit\\realai\\realai\\plugins\\knowledge_rag.py (proposed)\n@@ -1,120 ","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"model_manager","C:\realai\realai_og_mess\realai\local_models.py","164","def __init__(self, model_manager: LocalModelManager):","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"model_manager","C:\realai\realai_og_mess\realai\local_models.py","169","model_manager: Model manager instance","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"model_manager","C:\realai\realai_og_mess\realai\local_models.py","171","self.model_manager = model_manager","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"ocr","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","4727","coordination_strategy: ""hierarchical"", ""democratic"", or ""stigmergic""","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"ocr","C:\realai\realai_og_mess\realai\models\realai-vision\manifest.json","10","""ocr"",","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"ocr","C:\realai\realai_og_mess\realai\realai\__init__.py","4727","coordination_strategy: ""hierarchical"", ""democratic"", or ""stigmergic""","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"self_reflection","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1097","""knowledge_synthesis"", ""chain_of_thought"", ""self_reflection"",","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"self_reflection","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1118","""self_reflection"", ""chain_of_thought"", ""knowledge_synthesis"",","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"self_reflection","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1293","SELF_REFLECTION = ""self_reflection""","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"twitter","C:\realai\realai_og_mess\realai\archive\agent-tools\agent-tools-main\.agentx\agency_import.json","499","""description"": ""Expert social media strategist for Twitter, LinkedIn, and professional platforms. Creates viral campaigns, builds communities, manages real-time","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"twitter","C:\realai\realai_og_mess\realai\archive\agent-tools\agent-tools-main\.agentx\agency_import.json","510","""Twitter Advertising"",","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"twitter","C:\realai\realai_og_mess\realai\archive\agent-tools\agent-tools-main\.agentx\agents.json","997","""description"": ""Expert social media strategist for Twitter, LinkedIn, and professional platforms. Creates viral campaigns, builds communities, manages real-time","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"web_research","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\benchmarks\bench_tool_use.py","57","val_result = validator.validate(""web_research"", {""query"": ""test""})","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"web_research","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\benchmarks\bench_tool_use.py","61","""test"": ""validator_web_research"",","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"web_research","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai\app_framework.py","164",".add_step(""fetch"", ""web_research"", {""query"": ""AI news""})","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"self_improving","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1332","SELF_IMPROVING = ""self_improving""","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"self_improving","C:\realai\realai_og_mess\realai\.kilo\worktrees\cotton-mistake\realai\__init__.py","1450","ModelCapability.SELF_IMPROVING: ""evolution"",","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"self_improving","C:\realai\realai_og_mess\realai\realai\__init__.py","1332","SELF_IMPROVING = ""self_improving""","localhost","a0dab930-a5e0-4530-a204-a9e01376e0c3","False"
"computer_mode","C:\realai\recovered\from_desktop_missing\C_Users_tsmit_OneDrive_Desktop_realai_-_Copy_realai___init__.py","1336","COMPUTER_MODE_ACTIVATION = ""computer_mode_activation""","localhost","a242afda-b84e-44e9-b657-a77d2be6b7a3","False"
"computer_mode","C:\realai\recovered\from_desktop_missing\C_Users_tsmit_OneDrive_Desktop_realai_-_Copy_realai___init__.py","1448","ModelCapability.COMPUTER_MODE_ACTIVATION: ""computer"",","localhost","a242afda-b84e-44e9-b657-a77d2be6b7a3","False"
