"Path","Exists","HasGit","FileCount","MissingInCurrent","Notes","SampleMissing"
"C:\realai_recovery_","True","True","9332","8816","Already a git repo | Many unique files","__init__.py; .env.local.example; .large_files.txt; agent_manifests_for_finetuning_training_runs.json; agent_manifests_for_finetuning.json; AGENTS.md; api_big_server.py; api_server_backup.py"
"C:\RealAI_Recovery_SAFE","True","False","131570","131570","No .git | Many unique files","C__llama_agent_build_realai.py; C__llama-vulkan_models_realai-1.0_manifest.json; C__llama-vulkan_models_realai-1.0_package.json; C__llama-vulkan_models_realai-1.0_README.md; C__llama-vulkan_models_realai-1.0-instruct_manifest.json; C__llama-vulkan_models_realai-1.0-instruct_weights_artifact.json; C__llama-vulkan_models_realai-embed_README.md; C__llama-vulkan_models_realai-overseer_manifest.json"
"C:\RealAi-unified","True","True","6930","6423","Already a git repo | Many unique files","__init__.py; .env.local.example; agent_manifests_for_finetuning_training_runs.json; agent_manifests_for_finetuning.json; AGENTS.md; api_big_server.py; api_server_backup.py; api_server_cpu.py"
"C:\Users\tsmit\realai_historical_backups\realai_versions_20260612\RealAIProject","True","True","408","156","Already a git repo | Many unique files","__init__.py; .env.local.example; models\llama3.2-1b\.cache\huggingface\.gitignore; models\llama3.2-1b\.cache\huggingface\CACHEDIR.TAG; models\llama3.2-1b\.cache\huggingface\download\Llama-3.2-1B-Instruct-Q4_K_M.gguf.metadata; realai-core\agent_tools.egg-info\dependency_links.txt; realai-core\agent_tools.egg-info\entry_points.txt; realai-core\agent_tools.egg-info\PKG-INFO"
"C:\Users\tsmit\realai_historical_backups\realai_versions_20260612\real-fin","True","False","327","316","No .git | Many unique files","realai\.gitattributes; realai\.gitignore; realai\API.md; realai\build_lambda.sh; realai\CONTRIBUTING.md; realai\DEPLOYMENT_FRONTEND_FIX.md; realai\DEPLOYMENT.md; realai\examples_limitless.py"
"C:\Users\tsmit\realai_historical_backups\realai_versions_20260612\realai-backend","True","False","1","0","No .git",""
"C:\Users\tsmit\realai_historical_backups\realai_versions_20260612\realai_sdk","True","True","419","191","Already a git repo | Many unique files","__init__.py; client.py; realai-core\.gitignore; realai-core\poetry.lock; realai-core\policy.json; realai-core\pyproject.toml; realai-core\README.md; realai-core\sanity_check.py"
"C:\Users\tsmit\realai_historical_backups\realai_versions_20260612\realai_repo","True","True","402","154","Already a git repo | Many unique files","__init__.py; app\__init__.py; app\api\__init__.py; app\api\main.py; app\api\state.py; app\api\middleware\__init__.py; app\api\middleware\logging.py; app\api\routes\__init__.py"
"C:\Users\tsmit\realai_historical_backups\realai_versions_20260612\realai_good","True","False","3","0","No .git",""
"C:\Users\tsmit\realai_historical_backups\realai_versions_20260612\agent-tools-main","True","False","8","8","No .git","agent-tools-main\.vscode\mcp.json; agent-tools-main\.vscode\settings.json; agent-tools-main\agent_tools.egg-info\dependency_links.txt; agent-tools-main\agent_tools.egg-info\entry_points.txt; agent-tools-main\agent_tools.egg-info\PKG-INFO; agent-tools-main\agent_tools.egg-info\requires.txt; agent-tools-main\agent_tools.egg-info\SOURCES.txt; agent-tools-main\agent_tools.egg-info\top_level.txt"
"C:\Users\tsmit\realai_historical_backups\realai_versions_20260612\.realai","True","False","1","1","No .git","server.sqlite3"
"C:\Users\tsmit\realai-clean","True","True","21540","20688","Already a git repo | Many unique files","AGENTS.md; orchestrator.py; R; repo-tree.txt; .backup\clean_backup_20260708_041701\.env.example; .backup\clean_backup_20260708_041701\.gitattributes; .backup\clean_backup_20260708_041701\.gitignore; .backup\clean_backup_20260708_041701\.python-version"
